Field	Description
Loyalty Number	Customer's unique loyalty number
Year	Year of the period
Month	Month of the period
Flights Booked	Number of flights booked for member only in the period
Flights with Companions	Number of flights booked with additional passengers in the period
Total Flights	Sum of Flights Booked and Flights with Companions
Distance	Flight distance traveled in the period (km)
Points Accumulated	Loyalty points accumulated in the period
Points Redeemed	Loyalty points redeemed in the period
Dollar Cost Points Redeemed	Dollar equivalent for points redeemed in the period in CDN
